R,redcap,full,plottype
ptid,participant_id,Participant ID,
redcapid,redcap_survey_identifier,Survey Identifier,
timestamp_s1,cera_survey_1_timestamp,Survey Timestamp,
read_pt_info_now,do_you_want_to_read_the_in,Do you want to read the participant information sheet now?,
consent_s1,consent___1,"By checking this box, I certify that I am at least 18 years old and that I give my consent freely to participate in this study. (choice=I consent)",
email,email,"What is your e-mail address?     (This will only be used for the delivery of survey 2 + 3, which you will receive over the coming months)",
hosp,hosp,"What is the name of the hospital where you currently work?  Please type and your hospital should appear, if not present select 'other'",
ft_hosp,specify,"You have selected other, please specify.",
grade,grade,What is your professional grade?   ,bar
ft_grade,grade_other,"You have selected other, please specify.",
gender,grade_2,What is your gender?  ,bar
age,grade_3,How old are you?,bar
specialty,what_is_your_parent_specia,What is your 'parent speciality'?,
specialty_ed,parent_specia2___1,What is your 'parent speciality'? (choice=Emergency Medicine),
specialty_anaes,parent_specia2___2,What is your 'parent speciality'? (choice=Anaesthetics),
specialty_icu,parent_specia2___3,What is your 'parent speciality'? (choice=Intensive Care Medicine),
specialty_paeds,parent_specia2___9,What is your 'parent speciality'? (choice=Paediatrics),
specialty_gp,parent_specia2___4,What is your 'parent speciality'? (choice=General Practice),
specialty_surg,parent_specia2___5,What is your 'parent speciality'? (choice=Surgery),
specialty_fy,parent_specia2___6,What is your 'parent speciality'? (choice=Foundation Programme),
specialty_acute,parent_specia2___7,What is your 'parent speciality'? (choice=Acute Internal Medicine),
specialty_other,parent_specia2___8,What is your 'parent speciality'? (choice=Other),
ft_specialty,other_training,"You have selected other, please specify.",
dept,ward,In what Department were you working as of March 1st 2020?,
dept_ed,ward_2___1,In what Department were you working as of March 1st 2020? Select all that apply (choice=Emergency Department (adult or paediatric)),
dept_anaes,ward_2___2,In what Department were you working as of March 1st 2020? Select all that apply (choice=Anaesthetic Department (adult or paediatric)),
dept_icu,ward_2___3,In what Department were you working as of March 1st 2020? Select all that apply (choice=Intensive Care Department (adult or paediatric)),
dept_amu,ward_2___5,In what Department were you working as of March 1st 2020? Select all that apply (choice=Acute Medical Unit),
dept_ward,ward_2___6,In what Department were you working as of March 1st 2020? Select all that apply (choice=Hospital ward (adult or paediatric)),
dept_other,ward_2___4,In what Department were you working as of March 1st 2020? Select all that apply (choice=Other),
ft_dept,in_what_department_were_yo,"You selected other, in which Department where you working as of March 1st 2020?",
redeployed_s1,have_you_been_deployed_to,Have you been deployed to a different  clinical area as a result of the COVID-19 outbreak?,bar
redeployed_where_s1,re_deployed,Where have you been redeployed to?,barfilt
ft_redeployed_s1,other_please_specify,"You have selected other, please specify.",
redeployed_satisfaction_s1,how_happy_are_you_with_thi,How satisfied are you with this redeployment?    ,barfilt
outbreak_none,grade_4___0,Have you previously provided direct clinical care to any patients affected by these infectious disease outbreaks? (please select all that apply) (choice=None of the below),
outbreak_ebola,grade_4___4,Have you previously provided direct clinical care to any patients affected by these infectious disease outbreaks? (please select all that apply) (choice=Ebola virus),
outbreak_mers,grade_4___10,Have you previously provided direct clinical care to any patients affected by these infectious disease outbreaks? (please select all that apply) (choice=MERS-CoV),
outbreak_sars,grade_4___16,Have you previously provided direct clinical care to any patients affected by these infectious disease outbreaks? (please select all that apply) (choice=SARS),
outbreak_chikungunya,grade_4___1,Have you previously provided direct clinical care to any patients affected by these infectious disease outbreaks? (please select all that apply) (choice=Chikungunya),
outbreak_cholera,grade_4___2,Have you previously provided direct clinical care to any patients affected by these infectious disease outbreaks? (please select all that apply) (choice=Cholera),
outbreak_flu,grade_4___6,"Have you previously provided direct clinical care to any patients affected by these infectious disease outbreaks? (please select all that apply) (choice=Influenza (swine, avian, zoonotic))",
outbreak_zika,grade_4___20,Have you previously provided direct clinical care to any patients affected by these infectious disease outbreaks? (please select all that apply) (choice=Zika virus),
outbreak_other,grade_4___21,Have you previously provided direct clinical care to any patients affected by these infectious disease outbreaks? (please select all that apply) (choice=Other),
ft_outbreak,other_please_enter_below,"You have selected other, please specify.",
ghq_conc_s1,gh12_conc,Been able to concentrate on whatever you're doing?,stack
ghq_sleep_s1,gh12_sleep,Lost much sleep over worry?,stack
ghq_use_s1,ghq_use,Felt that you are playing a useful part in things?,stack
ghq_capable_s1,felt_capable_of_making_dec,Felt capable of making decisions about things?,stack
ghq_strain_s1,ghqstrain,Felt constantly under strain?,stack
ghq_diffs_s1,ghqdiff,Felt you couldn't overcome your difficulties?,stack
ghq_day_s1,ghqday,Been able to enjoy your normal day-to-day activities?,stack
ghq_face_s1,been_able_to_face_up_to_yo,Been able to face up to your problems?,stack
ghq_depressed_s1,been_feeling_unhappy_and_d,Been feeling unhappy and depressed?,stack
ghq_loseconf_s1,been_losing_confidence_in,Been losing confidence in yourself?,stack
ghq_worthless_s1,been_thinking_of_yourself,Been thinking of yourself as a worthless person?,stack
ghq_happy_s1,been_feeling_reasonably_ha,"Been feeling reasonably happy, all things considered?",stack
ppe.dondof_none_s1,donning_and_doffing___1,"Donning and doffing (gloves, gown, facemask, eye protection) (choice=No training)",
ppe.dondof_vid_s1,donning_and_doffing___2,"Donning and doffing (gloves, gown, facemask, eye protection) (choice=Formal instructional video)",
ppe.dondof_written_s1,donning_and_doffing___3,"Donning and doffing (gloves, gown, facemask, eye protection) (choice=Written instruction)",
ppe.dondof_sim_s1,donning_and_doffing___4,"Donning and doffing (gloves, gown, facemask, eye protection) (choice=Simulation training)",
ppe.dondof_dept_s1,donning_and_doffing___5,"Donning and doffing (gloves, gown, facemask, eye protection) (choice=Departmental guidance)",
ppe.dondof_other_s1,donning_and_doffing___6,"Donning and doffing (gloves, gown, facemask, eye protection) (choice=Other)",
ppe.fit_none_s1,formal_fit_testing_for_mas___1,Formal fit testing for mask (choice=No training),
ppe.fit_vid_s1,formal_fit_testing_for_mas___2,Formal fit testing for mask (choice=Formal instructional video),
ppe.fit_written_s1,formal_fit_testing_for_mas___3,Formal fit testing for mask (choice=Written instruction),
ppe.fit_sim_s1,formal_fit_testing_for_mas___4,Formal fit testing for mask (choice=Simulation training),
ppe.fit_dept_s1,formal_fit_testing_for_mas___5,Formal fit testing for mask (choice=Departmental guidance),
ppe.fit_other_s1,formal_fit_testing_for_mas___6,Formal fit testing for mask (choice=Other),
ppe.exp_none_s1,ppe_training_for_exposure___1,PPE training for exposure to aerosol generating procedure (e.g. intubation) (choice=No training),
ppe.exp_vid_s1,ppe_training_for_exposure___2,PPE training for exposure to aerosol generating procedure (e.g. intubation) (choice=Formal instructional video),
ppe.exp_written_s1,ppe_training_for_exposure___3,PPE training for exposure to aerosol generating procedure (e.g. intubation) (choice=Written instruction),
ppe.exp_sim_s1,ppe_training_for_exposure___4,PPE training for exposure to aerosol generating procedure (e.g. intubation) (choice=Simulation training),
ppe.exp_dept_s1,ppe_training_for_exposure___5,PPE training for exposure to aerosol generating procedure (e.g. intubation) (choice=Departmental guidance),
ppe.exp_other_s1,ppe_training_for_exposure___6,PPE training for exposure to aerosol generating procedure (e.g. intubation) (choice=Other),
ft_ppe_s1,other_please_specify_3,Other. Please specify. ,
ft_ppe_futher_s1,furtherppe,If you have had any further PPE training please specify,
practicaled_none_s1,ppe_2___0,What practical education have you received in regards to the clinical care of patients presenting with suspected/diagnosed COVID-19? (choice=None),
practicaled_case_s1,ppe_2___1,What practical education have you received in regards to the clinical care of patients presenting with suspected/diagnosed COVID-19? (choice=Simulation training of a possible case),
practicaled_aerosol_s1,ppe_2___2,What practical education have you received in regards to the clinical care of patients presenting with suspected/diagnosed COVID-19? (choice=Simulation training of a case requiring aerosol procedure),
practicaled_other_s1,ppe_2___3,What practical education have you received in regards to the clinical care of patients presenting with suspected/diagnosed COVID-19? (choice=Other),
ft_practicaled_s1,ppe_3,You selected other. Please specify.,
guid_govt,departmental_guidance,Government Guidance,stack
guid_college,online_governmental_guidan,College Guidance,stack
guid_trust,daily_governmental_tv_brie,Trust Guidance,stack
guid_dept,twitter,Departmental guidance,stack
guid_sm,podcasts,Social Media,stack
guid_blogs,facebook,Online blogs and podcasts,stack
guid_lit,peer_review_literature,Peer review literature,stack
confident_infectiontraining_s1,infec_train,How confident do you feel in the infection control training that has been provided to you?  ,bar
prepared_suspected_s1,recon_15,How prepared do you feel to provide direct care to suspected cases?,bar
prepared_normal_s1,recon_16,How do you feel the care received by patients who are NOT presenting with either symptoms or a diagnosis of COVID-19 is?  ,bar
exposure_s1,how_many_suspected_cases_o,How many  suspected cases of COVID-19 have you had direct clinical contact with since March 1st 2020?,bar
exposure_confirmed_s1,how_many_suspected_cases_o_2,"As far as you are aware, how many of these suspected cases have turned out to be  confirmed  cases of COVID-19?",bar
increasesympmedical_s1,do_you_consider_yourself_t,Are you concerned that the exposure to the COVID-19 outbreak may increase symptoms of any established medical health conditions? ,bar
increasesympmental_s1,ment_health,Are you concerned that the exposure to the COVID-19 outbreak may increase symptoms of any established mental health conditions? ,bar
perceived_risk_s1,perceived_risk,I feel that my personal health is at risk during the COVID-19 outbreak due to my clinical role?,bar
worry_personal_s1,risk,How worried are you about the potential risks if you were to become infected with COVID-19?,bar
worry_family_s1,worried,How worried are you about the potential risks to your family. loved ones or others due to your clinical role in the COVID-19 outbreak? ,bar
selfisolate_s1,self_isolate_2,Have you had to self-isolate?,bar
selfisolatereason_symptomspersonal_s1,self_isolate___1,For what reason did you have to self-isolate? (choice=Personal symptoms),
selfisolatereason_diagnosispersonal_s1,self_isolate___5,For what reason did you have to self-isolate? (choice=Personal diagnosis of COVID-19),
selfisolatereason_symptomshousehold_s1,self_isolate___2,For what reason did you have to self-isolate? (choice=Symptoms of a member of the household),
selfisolatereason_diagnosiswork_s1,self_isolate___3,For what reason did you have to self-isolate? (choice=Exposure to a positive case of COVID-19 in the work environment),
selfisolatereason_diagnosisplay_s1,self_isolate___4,For what reason did you have to self-isolate? (choice=Exposure to a positive case of COVID-19 in your personal environment),
selfisolatereason_other_s1,self_isolate___6,For what reason did you have to self-isolate? (choice=Other (eg return from travel to high risk area)),
ft_selfIsolatereason_s1,other_please_specify_eg_re,Other - please specify ,
missedshifts_s1,self_isolate_3,How many clinical shifts in your rota have you missed due to self-isolation?,
completedt_s1,date_survey_completed,Date survey completed,
complete_s1,cera_survey_1_complete,Complete?,
timestamp_s2,cera_survey_2_timestamp,Survey Timestamp,
consent_s2,consent_2,I consent to taking part in CERA survey 2.,
ethnicity_s2,ethnicity,What is your ethnicity?,bar
ghq_conc_s2,ghq_1,Been able to concentrate on whatever you're doing?,stack
ghq_sleep_s2,ghq_2,Lost much sleep over worry?,stack
ghq_use_s2,ghq_3,Felt that you are playing a useful part in things?,stack
ghq_capable_s2,ghq_4,Felt capable of making decisions about things?,stack
ghq_strain_s2,ghq_5,Felt constantly under strain?,stack
ghq_diffs_s2,ghq_6,Felt you couldn't overcome your difficulties?,stack
ghq_day_s2,ghq_7,Been able to enjoy your normal day-to-day activities?,stack
ghq_face_s2,ghq_8,Been able to face up to your problems?,stack
ghq_depressed_s2,ghq_9,Been feeling unhappy and depressed?,stack
ghq_loseconf_s2,ghq_10,Been losing confidence in yourself?,stack
ghq_worthless_s2,ghq_11,Been thinking of yourself as a worthless person?,stack
ghq_happy_s2,ghq_12,"Been feeling reasonably happy, all things considered?",stack
iesr_reminder_s2,any_reminder_brought_back,Any reminder brought back feelings about it,
iesr_staysleep_s2,i_had_trouble_staying_asle,I had trouble staying asleep,
iesr_things_s2,other_things_kept_me_think,Other things kept me thinking about it,
iesr_angry_s2,i_felt_irritable_and_angry,I felt irritable and angry,
iesr_avoid_s2,i_avoided_letting_myself_g,I avoided letting myself get upset when I thought about it or was reminded of it,
iesr_thought_s2,i_thought_about_it_when_i,I thought about it when I didn't mean to,
iesr_real_s2,i_felt_as_if_it_hadn_t_hap,I felt as if it hadn't happened or wasn't real,
iesr_away_s2,i_stayed_away_from_reminde,I stayed away from reminders of it,
iesr_pics_s2,pictures_about_it_popped_i,Pictures about it popped into my head,
iesr_jumpy_s2,i_was_jumpy_and_easily_sta,I was jumpy and easily startled,
iesr_notthink_s2,i_tried_not_to_think_about,I tried not to think about it,
iesr_aware_s2,i_was_aware_that_i_still_h,"I was aware that I still had a lot of feelings about it, but I didn't deal with them",
iesr_numb_s2,my_feelings_about_it_were,My feelings about it were kind of numb,
iesr_acting_s2,i_found_myself_acting_or_f,I found myself acting or feeling like I was back at that time,
iesr_fallsleep_s2,i_had_trouble_falling_asle,I had trouble falling asleep,
iesr_waves_s2,i_had_waves_of_strong_feel,I had waves of strong feelings about it,
iesr_remove_s2,i_tried_to_remove_it_from,I tried to remove it from my memory,
iesr_conc_s2,i_had_trouble_concentratin,I had trouble concentrating,
iesr_reactions_s2,reminders_of_it_caused_me,"Reminders of it caused me to have physical reactions, such as sweating, trouble breathing, nausea or a pounding heart",
iesr_dreams_s2,i_had_dreams_about_it,I had dreams about it,
iesr_watchful_s2,i_felt_watchful_and_on_gua,I felt watchful and on-guard,
iesr_nottalk_s2,i_tried_not_to_talk_about,I tried not to talk about it,
ppe.dondof_none_s2,donning_and_doffing2___1,"Donning and doffing (gloves, gown, facemask, eye protection) (choice=No training)",
ppe.dondof_vid_s2,donning_and_doffing2___2,"Donning and doffing (gloves, gown, facemask, eye protection) (choice=Formal instructional video)",
ppe.dondof_written_s2,donning_and_doffing2___3,"Donning and doffing (gloves, gown, facemask, eye protection) (choice=Written instruction)",
ppe.dondof_sim_s2,donning_and_doffing2___4,"Donning and doffing (gloves, gown, facemask, eye protection) (choice=Simulation training)",
ppe.dondof_dept_s2,donning_and_doffing2___5,"Donning and doffing (gloves, gown, facemask, eye protection) (choice=Departmental guidance)",
ppe.dondof_other_s2,donning_and_doffing2___6,"Donning and doffing (gloves, gown, facemask, eye protection) (choice=Other)",
ppe.fit_none_s2,formal_fit_testing2___1,Formal fit testing for mask (choice=No training),
ppe.fit_vid_s2,formal_fit_testing2___2,Formal fit testing for mask (choice=Formal instructional video),
ppe.fit_written_s2,formal_fit_testing2___3,Formal fit testing for mask (choice=Written instruction),
ppe.fit_sim_s2,formal_fit_testing2___4,Formal fit testing for mask (choice=Simulation training),
ppe.fit_dept_s2,formal_fit_testing2___5,Formal fit testing for mask (choice=Departmental guidance),
ppe.fit_other_s2,formal_fit_testing2___6,Formal fit testing for mask (choice=Other),
ppe.exp_none_s2,ppe_training_for_exposure2___1,PPE training for exposure to aerosol generating procedure (e.g. intubation) (choice=No training),
ppe.exp_vid_s2,ppe_training_for_exposure2___2,PPE training for exposure to aerosol generating procedure (e.g. intubation) (choice=Formal instructional video),
ppe.exp_written_s2,ppe_training_for_exposure2___3,PPE training for exposure to aerosol generating procedure (e.g. intubation) (choice=Written instruction),
ppe.exp_sim_s2,ppe_training_for_exposure2___4,PPE training for exposure to aerosol generating procedure (e.g. intubation) (choice=Simulation training),
ppe.exp_dept_s2,ppe_training_for_exposure2___5,PPE training for exposure to aerosol generating procedure (e.g. intubation) (choice=Departmental guidance),
ppe.exp_other_s2,ppe_training_for_exposure2___6,PPE training for exposure to aerosol generating procedure (e.g. intubation) (choice=Other),
practicaled_none_s2,ppe_22___0,What practical education have you received in regards to the clinical care of patients presenting with suspected/diagnosed COVID-19? (select all that apply) (choice=None),
practicaled_case_s2,ppe_22___1,What practical education have you received in regards to the clinical care of patients presenting with suspected/diagnosed COVID-19? (select all that apply) (choice=Simulation training of a possible case),
practicaled_aerosol_s2,ppe_22___2,What practical education have you received in regards to the clinical care of patients presenting with suspected/diagnosed COVID-19? (select all that apply) (choice=Simulation training of a case requiring aerosol generating procedure),
practicaled_other_s2,ppe_22___3,What practical education have you received in regards to the clinical care of patients presenting with suspected/diagnosed COVID-19? (select all that apply) (choice=Other),
ft_practicaled_s2,other_please_specify3,"You have selected other, please specify.",
confident_infectiontraining_s2,infec_train2,How confident do you feel in the infection control training that has been provided to you?  ,
prepared_suspected_s2,recon_152,How prepared do you feel to provide direct care to suspected cases?,
prepared_normal_s2,recon_162,How do you feel the care received by patients who are NOT presenting with either symptoms or a diagnosis of COVID-19 is?  ,
